svk_source	term_id	term	meeting	date	time	type	mp_id	moderator	fullname	firstname	lastname	title	party	party_short	dob	gender	nationality	residence	district	email	personal_web	mp_web	difterm	transcript_link	speech	lem	agenda
SK_term_4.tsv-line12	12	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Eduard Kukan.	eduard kukan.	-
SK_term_4.tsv-line13	13	4	1	20060704			157	0	Kukan, Eduard	Eduard	Kukan	JUDr.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19391226	0	slovenská	Bratislava	Bratislavský	eduard_kukan@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=157&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line14	14	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Lucia Žitňanská.	lucia žitňanská.	-
SK_term_4.tsv-line15	15	4	1	20060704			692	0	Žitňanská, Lucia	Lucia	Žitňanská	doc. JUDr., PhD.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19640603	1	slovenská	Bratislava	Bratislavský	lucia_zitnanska@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=692&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line16	16	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Pál Csáky.	pál csák.	-
SK_term_4.tsv-line17	17	4	1	20060704			170	0	Csáky, Pál	Pál	Csáky	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19560321	0	maďarská	Levice	Nitriansky	pal_csaky@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=170&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line18	18	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Mikuláš Dzurinda.	mikuláš dzurinda.	-
SK_term_4.tsv-line19	19	4	1	20060704			171	0	Dzurinda, Mikuláš	Mikuláš	Dzurinda	Ing., CSc.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19550204	0	slovenská	Bratislava	Bratislavský	mikulas_dzurinda@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=171&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line20	20	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ivan Mikloš.	ivan mikloš.	-
SK_term_4.tsv-line21	21	4	1	20060704			314	0	Mikloš, Ivan	Ivan	Mikloš	Dr. h. c. Ing.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19600602	0	slovenská	Bratislava	Bratislavský	ivan_miklos@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=314&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line22	22	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Pavol Prokopovič.	pavol prokopovič.	-
SK_term_4.tsv-line23	23	4	1	20060704			108	0	Prokopovič, Pavol	Pavol	Prokopovič	Ing.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19550629	0	slovenská	Stropkov	Prešovský	pavol_prokopovic@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=108&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line24	24	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Iveta Radičová.	iveta radičová.	-
SK_term_4.tsv-line25	25	4	1	20060704			687	0	Radičová, Iveta	Iveta	Radičová	prof. PhDr., PhD.	Slovenská demokratická a kresťanská únia – Demokratická strana	SDKU-DS	19561207	1	slovenská	Nová Dedinka	Bratislavský	iveta_radicova@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=687&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line26	26	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Zsolt Simon.	zsolt simon.	-
SK_term_4.tsv-line27	27	4	1	20060704			697	0	Simon, Zsolt	Zsolt	Simon	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19700826	0	maďarská	Padarovce	Banskobystrický	zsolt_simon@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=697&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line28	28	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	László Miklós.	lászló miklós.	-
SK_term_4.tsv-line29	29	4	1	20060704			313	0	Miklós, László	László	Miklós	Dr. h. c. prof. RNDr., DrSc.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19490124	0	maďarská	Banský Studenec	Banskobystrický	laszlo_miklos@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=313&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line30	30	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	László Gyurovszky.	lászló gyurovszky.	-
SK_term_4.tsv-line31	31	4	1	20060704			46	0	Gyurovszky, László	László	Gyurovszky	Ing.	Strana maďarskej koalície – Magyar Koalíció Pártja	SMK	19590930	0	maďarská	Šaľa	Nitriansky	laszlo_gyurovsky@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=46&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line32	32	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Jaroslav Baška.	jaroslav baška.	-
SK_term_4.tsv-line33	33	4	1	20060704			233	0	Baška, Jaroslav	Jaroslav	Baška	Ing.	SMER – sociálna demokracia	SMER-SD	19750405	0	slovenská	Dohňany	Trenčiansky	jaroslav.baska@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=233&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line34	34	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Jozef Buček.	jozef ba ček.	-
SK_term_4.tsv-line35	35	4	1	20060704			242	0	Buček, Jozef	Jozef	Buček	Mgr.	SMER – sociálna demokracia	SMER-SD	19600506	0	slovenská	Košice	Košický	jozef_bucek@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=242&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line36	36	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Jozef Burian.	jozef burian.	-
SK_term_4.tsv-line37	37	4	1	20060704			243	0	Burian, Jozef	Jozef	Burian	Ing.	SMER – sociálna demokracia	SMER-SD	19610921	0	slovenská	Košice	Košický	jozef_burian@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=243&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line38	38	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Dušan Čaplovič.	dušan čaplovič.	-
SK_term_4.tsv-line39	39	4	1	20060704			244	0	Čaplovič, Dušan	Dušan	Čaplovič	doc. PhDr., DrSc.	SMER – sociálna demokracia	SMER-SD	19460918	0	slovenská	Bratislava	Bratislavský	dusan_caplovic@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=244&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line40	40	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Ján Čech.	ján čech.	-
SK_term_4.tsv-line41	41	4	1	20060704			648	0	Čech, Ján	Ján	Čech	Ing.	SMER – sociálna demokracia	SMER-SD	19510728	0	slovenská	Pezinok	Bratislavský	jan_cech@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=648&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line42	42	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Miroslav Číž.	miroslav číž.	-
SK_term_4.tsv-line43	43	4	1	20060704			246	0	Číž, Miroslav	Miroslav	Číž	JUDr.	SMER – sociálna demokracia	SMER-SD	19540211	0	slovenská	Štiavnické Bane	Banskobystrický	miroslav_ciz@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=246&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line44	44	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Vladimír Faič.	vladimír faič.	-
SK_term_4.tsv-line45	45	4	1	20060704			36	0	Faič, Vladimír	Vladimír	Faič	RSDr.	SMER – sociálna demokracia	SMER-SD	19480715	0	slovenská	Prašice	Nitriansky	vladimir.faic@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=36&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line46	46	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Igor Federič.	igor federič.	-
SK_term_4.tsv-line47	47	4	1	20060704			256	0	Federič, Igor	Igor	Federič	Ing.	SMER – sociálna demokracia	SMER-SD	19621006	0	slovenská	Bratislava	Bratislavský	igor_federic@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=256&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line48	48	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Robert Fico.	robert fico.	-
SK_term_4.tsv-line49	49	4	1	20060704			40	0	Fico, Robert	Robert	Fico	doc. JUDr., CSc.	SMER – sociálna demokracia	SMER-SD	19640915	0	slovenská	Bratislava	Bratislavský	robert.fico@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=40&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line50	50	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Darina Gabániová.	darina gabániová.	-
SK_term_4.tsv-line51	51	4	1	20060704			257	0	Gabániová, Darina	Darina	Gabániová	MUDr., PhD.	SMER – sociálna demokracia	SMER-SD	19550820	1	slovenská	Čataj	Bratislavský	darina_gabaniova@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=257&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line52	52	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Dušan Galis.	dušan galis.	-
SK_term_4.tsv-line53	53	4	1	20060704			656	0	Galis, Dušan	Dušan	Galis	Mgr.	SMER – sociálna demokracia	SMER-SD	19491124	0	slovenská	Bratislava	Bratislavský	dusan.galis@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=656&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line54	54	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Tibor Glenda.	tibor glenda.	-
SK_term_4.tsv-line55	55	4	1	20060704			658	0	Glenda, Tibor	Tibor	Glenda	Ing.	SMER – sociálna demokracia	SMER-SD	19550722	0	slovenská	Alekšince	Nitriansky	tibor_glenda@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=658&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line56	56	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Martin Glváč.	martin glváč.	-
SK_term_4.tsv-line57	57	4	1	20060704			659	0	Glváč, Martin	Martin	Glváč	JUDr.	SMER – sociálna demokracia	SMER-SD	19671120	0	slovenská	Bratislava	Bratislavský	martin_glvac@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=659&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line58	58	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Juraj Horváth.	juraj horváth.	-
SK_term_4.tsv-line59	59	4	1	20060704			661	0	Horváth, Juraj	Juraj	Horváth	JUDr.	SMER – sociálna demokracia	SMER-SD	19651119	0	slovenská	Bratislava	Bratislavský	juraj_horvath@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=661&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line60	60	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Miroslav Chovanec.	miroslav chovanec.	-
SK_term_4.tsv-line61	61	4	1	20060704			267	0	Chovanec, Miroslav	Miroslav	Chovanec	MUDr.	SMER – sociálna demokracia	SMER-SD	19480910	0	slovenská	Trenčín	Trenčiansky	miroslav_chovanec@nrsr.sk	NA	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=267&CisObdobia=4	0	docx	Sľubujem. (Potlesk.)	sľubovať.  (potlesk.)	-
SK_term_4.tsv-line62	62	4	1	20060704			294	1	Veteška, Viliam	Viliam	Veteška	JUDr.	Ľudová strana – Hnutie za demokratické Slovensko	LS-HZDS	19530816	0	slovenská	Púchov	Trenčiansky	viliam_veteska@nrsr.sk	www.viliamveteska.sk	https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=294&CisObdobia=4	0	docx	Dušan Jarjabek.	dušan jarjabek.	-
